epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46322,0.98191,2.67957,1.31624,0.56904,0.85,0.80134,0.61153,1.63323,1.10951,1.37882,0,0,0
2,2.71882,1.02669,3.27748,1.38047,0.5693,0.85,0.84136,0.63596,1.63881,1.09236,1.37811,1.17822e-06,1.17822e-06,1.17822e-06
3,3.83263,1.40829,2.72842,1.81222,0.56126,0.85,0.84184,0.63639,1.6519,1.0932,1.37917,2.33288e-06,2.33288e-06,2.33288e-06
4,4.96017,1.51906,3.01891,2.09561,0.56132,0.85,0.80085,0.61157,1.65695,1.08417,1.37973,3.46397e-06,3.46397e-06,3.46397e-06
5,6.13713,1.4772,3.24978,1.94417,0.56132,0.85,0.80085,0.61157,1.65695,1.08417,1.37973,4.5715e-06,4.5715e-06,4.5715e-06
6,7.29047,1.15881,2.80181,1.47267,0.55073,0.85,0.80801,0.60383,1.63368,1.07775,1.35657,5.65548e-06,5.65548e-06,5.65548e-06
7,8.49165,1.17677,2.47456,1.4358,0.55073,0.85,0.80801,0.60383,1.63368,1.07775,1.35657,6.71588e-06,6.71588e-06,6.71588e-06
8,9.7315,1.01357,2.58386,1.25373,0.61188,0.93333,0.87286,0.60942,1.6327,1.07496,1.35105,7.75273e-06,7.75273e-06,7.75273e-06
9,10.7926,1.11975,3.7916,1.47331,0.61188,0.93333,0.87286,0.60942,1.6327,1.07496,1.35105,8.76602e-06,8.76602e-06,8.76602e-06
10,11.91,1.00441,2.58205,1.25626,0.57269,0.85,0.81273,0.60785,1.61105,1.06042,1.33445,9.75574e-06,9.75574e-06,9.75574e-06
11,13.0762,1.1595,3.03423,1.44334,0.57269,0.85,0.81273,0.60785,1.61105,1.06042,1.33445,1.07219e-05,1.07219e-05,1.07219e-05
12,14.1181,0.92685,2.27743,1.30015,0.57269,0.85,0.81273,0.60785,1.61105,1.06042,1.33445,1.16645e-05,1.16645e-05,1.16645e-05
13,15.294,0.93493,2.17687,1.47859,0.76043,0.65,0.86083,0.63356,1.60698,1.07242,1.32992,1.25835e-05,1.25835e-05,1.25835e-05
14,16.3401,1.04983,2.47217,1.42302,0.76043,0.65,0.86083,0.63356,1.60698,1.07242,1.32992,1.3479e-05,1.3479e-05,1.3479e-05
15,17.3683,1.05516,2.10349,1.42776,0.76043,0.65,0.86083,0.63356,1.60698,1.07242,1.32992,1.43509e-05,1.43509e-05,1.43509e-05
16,18.4273,1.08525,2.68659,1.60402,0.81385,0.65,0.89571,0.65195,1.61422,1.09353,1.33103,1.51993e-05,1.51993e-05,1.51993e-05
17,19.4647,0.94933,2.61431,1.37546,0.81385,0.65,0.89571,0.65195,1.61422,1.09353,1.33103,1.60241e-05,1.60241e-05,1.60241e-05
18,20.6881,1.20878,3.05589,1.529,0.81385,0.65,0.89571,0.65195,1.61422,1.09353,1.33103,1.68253e-05,1.68253e-05,1.68253e-05
19,21.751,1.24465,1.94385,1.40117,0.81385,0.65,0.89571,0.65195,1.61422,1.09353,1.33103,1.7603e-05,1.7603e-05,1.7603e-05
20,22.8059,1.08554,1.88227,1.3339,0.80885,0.65,0.87776,0.64792,1.60673,1.13074,1.32851,1.83571e-05,1.83571e-05,1.83571e-05
21,23.8441,1.24939,3.56257,1.58776,0.80885,0.65,0.87776,0.64792,1.60673,1.13074,1.32851,1.90876e-05,1.90876e-05,1.90876e-05
22,24.9581,1.04274,2.25791,1.54261,0.80885,0.65,0.87776,0.64792,1.60673,1.13074,1.32851,1.97946e-05,1.97946e-05,1.97946e-05
23,25.9984,1.13817,2.59707,1.39396,0.80885,0.65,0.87776,0.64792,1.60673,1.13074,1.32851,2.0478e-05,2.0478e-05,2.0478e-05
24,27.0752,1.13457,2.16182,1.42079,0.79673,0.65,0.85292,0.63849,1.61518,1.18894,1.34287,2.11379e-05,2.11379e-05,2.11379e-05
25,28.302,0.85195,2.42407,1.24502,0.79673,0.65,0.85292,0.63849,1.61518,1.18894,1.34287,2.17741e-05,2.17741e-05,2.17741e-05
26,29.3966,1.07138,1.89412,1.50423,0.79673,0.65,0.85292,0.63849,1.61518,1.18894,1.34287,2.23869e-05,2.23869e-05,2.23869e-05
27,30.5311,0.98196,1.89138,1.31431,0.79673,0.65,0.85292,0.63849,1.61518,1.18894,1.34287,2.2976e-05,2.2976e-05,2.2976e-05
28,31.7964,0.99059,2.1113,1.32395,0.79673,0.65,0.85292,0.63849,1.61518,1.18894,1.34287,2.35417e-05,2.35417e-05,2.35417e-05
29,32.8643,1.31708,2.20404,1.4794,0.78209,0.65,0.85335,0.63089,1.62356,1.23283,1.34914,2.40837e-05,2.40837e-05,2.40837e-05
30,33.9012,0.85013,1.70207,1.20098,0.78209,0.65,0.85335,0.63089,1.62356,1.23283,1.34914,2.46022e-05,2.46022e-05,2.46022e-05
31,34.9397,0.99744,1.86841,1.36084,0.78209,0.65,0.85335,0.63089,1.62356,1.23283,1.34914,2.50971e-05,2.50971e-05,2.50971e-05
32,35.9764,1.04126,1.81178,1.28353,0.78209,0.65,0.85335,0.63089,1.62356,1.23283,1.34914,2.55685e-05,2.55685e-05,2.55685e-05
33,36.9978,0.97911,2.0438,1.4484,0.78209,0.65,0.85335,0.63089,1.62356,1.23283,1.34914,2.60163e-05,2.60163e-05,2.60163e-05
34,38.0215,0.91893,2.00681,1.36686,0.78209,0.65,0.85335,0.63089,1.62356,1.23283,1.34914,2.64405e-05,2.64405e-05,2.64405e-05
35,39.0783,0.9943,1.98262,1.27116,0.73908,0.65,0.76703,0.5375,1.63685,1.31792,1.35632,2.68412e-05,2.68412e-05,2.68412e-05
36,40.107,0.88791,1.90567,1.23601,0.73908,0.65,0.76703,0.5375,1.63685,1.31792,1.35632,2.72183e-05,2.72183e-05,2.72183e-05
37,41.1476,0.98662,1.99142,1.43792,0.73908,0.65,0.76703,0.5375,1.63685,1.31792,1.35632,2.75718e-05,2.75718e-05,2.75718e-05
38,42.2442,1.16723,2.492,1.47854,0.73908,0.65,0.76703,0.5375,1.63685,1.31792,1.35632,2.79018e-05,2.79018e-05,2.79018e-05
39,43.3343,1.11213,2.81696,1.5932,0.73908,0.65,0.76703,0.5375,1.63685,1.31792,1.35632,2.82082e-05,2.82082e-05,2.82082e-05
40,44.3659,1.20663,1.53027,1.60304,0.73908,0.65,0.76703,0.5375,1.63685,1.31792,1.35632,2.84911e-05,2.84911e-05,2.84911e-05
41,45.3998,0.9438,1.8029,1.24451,0.73908,0.65,0.76703,0.5375,1.63685,1.31792,1.35632,2.87504e-05,2.87504e-05,2.87504e-05
42,46.4488,1.01439,2.03778,1.35895,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.89861e-05,2.89861e-05,2.89861e-05
43,47.4798,0.5824,3.22181,1.14945,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.91983e-05,2.91983e-05,2.91983e-05
44,48.5087,1.09169,1.61434,1.40896,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.93869e-05,2.93869e-05,2.93869e-05
45,49.5436,0.72497,1.45783,1.22399,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.9552e-05,2.9552e-05,2.9552e-05
46,50.5763,1.0992,1.89054,1.57094,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.96935e-05,2.96935e-05,2.96935e-05
47,51.6085,0.95747,1.274,1.21057,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.98114e-05,2.98114e-05,2.98114e-05
48,52.6496,0.89891,1.76017,1.24336,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.99058e-05,2.99058e-05,2.99058e-05
49,53.7699,1.05201,2.14813,1.33876,0.70188,0.65,0.73998,0.51408,1.63526,1.37054,1.36056,2.99766e-05,2.99766e-05,2.99766e-05
