epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30338,0.98191,2.67957,1.31624,0.56904,0.85,0.80134,0.61153,1.63323,1.10951,1.37882,0,0,0
2,3.73676,1.02669,3.27748,1.38047,0.5693,0.85,0.84136,0.63596,1.63881,1.09236,1.37811,1.17822e-06,1.17822e-06,1.17822e-06
3,5.1428,1.40829,2.72842,1.81222,0.56126,0.85,0.84184,0.63639,1.6519,1.0932,1.37917,2.33288e-06,2.33288e-06,2.33288e-06
4,6.54025,1.51906,3.01891,2.09561,0.56132,0.85,0.80085,0.61157,1.65695,1.08417,1.37973,3.46397e-06,3.46397e-06,3.46397e-06
5,7.72811,1.4772,3.24978,1.94417,0.55985,0.85,0.84861,0.62974,1.65127,1.08019,1.37213,4.5715e-06,4.5715e-06,4.5715e-06
6,8.96103,1.16051,2.76794,1.47407,0.54817,0.85,0.80787,0.60379,1.63302,1.07522,1.35723,5.65548e-06,5.65548e-06,5.65548e-06
7,10.415,1.16685,2.43404,1.42661,0.55569,0.85,0.80788,0.60374,1.62744,1.0712,1.35171,6.71588e-06,6.71588e-06,6.71588e-06
8,11.5633,0.9741,2.48935,1.23219,0.60616,0.93333,0.87273,0.60937,1.63077,1.06995,1.35052,7.75273e-06,7.75273e-06,7.75273e-06
9,12.6435,1.10966,3.71529,1.46836,0.57105,0.85,0.81323,0.60866,1.60378,1.05295,1.33271,8.76602e-06,8.76602e-06,8.76602e-06
10,13.7027,0.99392,2.44479,1.24492,0.57757,0.86041,0.81599,0.62498,1.60025,1.05354,1.33049,9.75574e-06,9.75574e-06,9.75574e-06
11,14.7838,1.13417,2.87861,1.41557,0.58489,0.86667,0.86454,0.6356,1.58923,1.04994,1.32277,1.07219e-05,1.07219e-05,1.07219e-05
12,15.8584,0.88736,2.11294,1.27984,0.59293,0.86667,0.87031,0.63221,1.59668,1.059,1.32476,1.16645e-05,1.16645e-05,1.16645e-05
13,16.9168,0.92449,1.91028,1.45377,0.59264,0.86667,0.8609,0.63125,1.58996,1.06269,1.32089,1.25835e-05,1.25835e-05,1.25835e-05
